Player;Team;Position;Annual Salary;Contract Yrs;Contract Amt;Contract Thru
Ajinca, Alexis;Charlotte Bobcats;C;$1.276.320 ;5;$9.623.114 ;2012-13
Singletary, Sean;Charlotte Bobcats;G;$442.114 ;1;$442.114 ;2008-09
Johnson, Linton;Charlotte Bobcats;F;$125.379 ;1;$125.379 ;2008-09
Brown , Andre;Charlotte Bobcats;F;$107.908 ;1;$107.908 ;2008-09
Martin, Cartier;Charlotte Bobcats;F;$26.007 ;1;$26.007 ;2008-09
Hughes, Larry;Chicago Bulls;F;$12.827.676 ;5;$60.000.000 ;2009-10
Hinrich, Kirk;Chicago Bulls;G;$10.000.000 ;5;$47.500.000 ;2010-11
Deng, Luol;Chicago Bulls;F;$9.385.000 ;4;$81.000.000 ;2013-14
Nocioni, Andres;Chicago Bulls;F;$8.000.000 ;5;$37.500.000 ;2011-12 (t)
Gooden, Drew;Chicago Bulls;F-C;$7.151.183 ;3;$23.000.000 ;2008-09
Gordon, Ben;Chicago Bulls;G;$6.404.749 ;4;$15.712.000 ;2007-08 (t)
Rose, Derrick;Chicago Bulls;G;$4.822.800 ;5;$31.638.968 ;2012-13
Thomas , Tyrus;Chicago Bulls;F;$3.749.880 ;4;$15.260.000 ;2009-10 (t)
Noah, Joakim;Chicago Bulls;C-F;$2.295.480 ;5;$11.115.727 ;2011-12 (t)
Sefolosha , Thabo;Chicago Bulls;F-G;$1.931.160 ;4;$8.180.000 ;2009-10 (t)
Simmons , Cedric;Chicago Bulls;F;$1.742.760 ;4;$7.559.000 ;2009-10 (t)
Ruffin, Michael;Chicago Bulls;F-C;$1.141.838 ;1;$770.610 ;2007-08
Hunter, Lindsey;Chicago Bulls;G;$1.136.048 ;2;$4.500.000 ;2007-08
Gray, Aaron;Chicago Bulls;C;$711.517 ;3;$1.138.680 ;2009-10
Curry, JamesOn;Chicago Bulls;G;$100.000 ;1;$100.000 ;2008-09
Wallace, Ben;Cleveland Cavaliers;F-C;$14.500.000 ;4;$60.000.000 ;2009-10
James, LeBron;Cleveland Cavaliers;F;$14.410.581 ;4;$63.000.000 ;2009-10 (p)
Szczerbiak, Wally;Cleveland Cavaliers;G-F;$13.275.000 ;6;$65.000.000 ;2008-09
Ilgauskas, Zydrunas;Cleveland Cavaliers;C;$10.841.615 ;5;$55.000.000 ;2009-10
Williams, Maurice;Cleveland Cavaliers;G;$8.353.000 ;4;$35.013.000 ;2011-12
Snow, Eric;Cleveland Cavaliers;G;$7.312.500 ;4;$25.600.000 ;2008-09
Varejao, Anderson;Cleveland Cavaliers;C-F;$5.784.480 ;3;$17.000.000 ;2009-10 (p)
Pavlovic, Sasha;Cleveland Cavaliers;G-F;$4.696.250 ;2;$9.838.750 ;2009-10
West, Delonte;Cleveland Cavaliers;G;$3.850.000 ;3;$12.500.000 ;2010-11
Gibson , Daniel;Cleveland Cavaliers;G;$3.700.000 ;5;$20.800.000 ;2012-13
Hickson, J.J.;Cleveland Cavaliers;F;$1.329.480 ;5;$9.999.706 ;2012-13
Wright, Lorenzen;Cleveland Cavaliers;F-C;$1.262.475 ;2;$6.000.000 ;2007-08
Kinsey , Tarence;Cleveland Cavaliers;G;$797.581 ;2;$1.100.000 ;2007-08
Jackson, Darnell;Cleveland Cavaliers;F;$442.114 ;2;$1.178.534 ;2009-10
Williams, Jawad;Cleveland Cavaliers;F;$239.311 ;1;$239.311 ;2008-09
Kidd, Jason;Dallas Mavericks;G;$21.372.000 ;6;$103.570.000 ;2008-09
Nowitzki, Dirk;Dallas Mavericks;F;$18.077.904 ;3;$60.000.000 ;2010-11 (p)
Dampier, Erick;Dallas Mavericks;C;$11.553.000 ;7;$73.000.000 ;2010-11
Howard, Josh;Dallas Mavericks;F-G;$9.945.000 ;4;$40.000.000 ;2010-11 (t)
Terry, Jason;Dallas Mavericks;G;$9.696.000 ;6;$57.000.000 ;2011-12
Stackhouse, Jerry;Dallas Mavericks;G-F;$7.000.000 ;3;$21.000.000 ;2009-10
Carroll, Matt;Dallas Mavericks;G;$5.050.000 ;6;$27.000.000 ;2011-12
Wright, Antoine;Dallas Mavericks;G-F;$1.800.000 ;2;$4.000.000 ;2009-10
George, Devean;Dallas Mavericks;F;$1.600.000 ;2;$4.000.000 ;2009-10
Williams , Shawne;Dallas Mavericks;F;$1.572.960 ;4;$6.827.000 ;2009-10 (t)
Barea , Jose Juan;Dallas Mavericks;G;$1.500.000 ;3;$5.000.000 ;2010-11
Hollins , Ryan;Dallas Mavericks;C;$972.581 ;2;$1.100.000 ;2007-08
Green, Gerald;Dallas Mavericks;G;$826.269 ;4;$6.260.000 ;2008-09 (t)
Bass, Brandon;Dallas Mavericks;F;$826.269 ;1;$770.610 ;2007-08
Singleton, James;Dallas Mavericks;F;$711.517 ;1;$711.517 ;2008-09
Martin, Kenyon;Denver Nuggets;F;$14.431.818 ;7;$91.000.000 ;2010-11
Anthony, Carmelo;Denver Nuggets;F;$14.410.581 ;5;$80.000.000 ;2011-12
Billups, Chauncey;Denver Nuggets;G;$11.050.000 ;5;$60.000.000 ;2011-12
Hilario, Nene;Denver Nuggets;C-F;$9.680.000 ;4;$43.160.000 ;2011-12
Smith, J.R.;Denver Nuggets;G;$4.985.001 ;3;$16.500.000 ;2010-11
Hunter, Steven;Denver Nuggets;F-C;$3.862.600 ;5;$16.500.000 ;2009-10
Petro, Johan;Denver Nuggets;C;$1.939.893 ;4;$4.960.000 ;2008-09 (t)
Kleiza, Linas;Denver Nuggets;F-G;$1.824.493 ;4;$4.661.000 ;2008-09 (t)
Balkman , Renaldo;Denver Nuggets;F;$1.369.920 ;4;$5.870.000 ;2009-10 (t)
Carter, Anthony;Denver Nuggets;G;$1.147.533 ;1;$770.610 ;2007-08
Andersen, Chris;Denver Nuggets;F-C;$998.000 ;1;$998.000 ;2008-09
Jones, Dahntay;Denver Nuggets;G-F;$926.678 ;1;$626.823 ;2007-08
Weems, Sonny;Denver Nuggets;G-F;$442.114 ;1;$442.114 ;2008-09
Iverson, Allen;Detroit Pistons;G;$20.840.625 ;6;$90.200.000 ;2008-09
Wallace, Rasheed;Detroit Pistons;C-F;$13.680.000 ;6;$60.000.000 ;2008-09
Hamilton, Richard;Detroit Pistons;G;$10.812.500 ;3;$34.000.000 ;2011-12
Prince, Tayshaun;Detroit Pistons;F;$9.500.000 ;6;$49.760.000 ;2010-11
McDyess, Antonio;Detroit Pistons;F-C;$6.813.050 ;2;$14.500.000 ;2008-09
Brown, Kwame;Detroit Pistons;C;$4.000.000 ;2;$8.000.000 ;2009-10
Johnson, Amir;Detroit Pistons;F;$3.666.667 ;3;$11.000.000 ;2009-10
Herrmann , Walter;Detroit Pistons;F;$2.000.000 ;2;$3.744.000 ;2007-08
Jason, Maxiell;Detroit Pistons;F;$1.877.752 ;4;$20.000.000 ;2011-12
Stuckey, Rodney;Detroit Pistons;G;$1.687.320 ;5;$8.930.403 ;2011-12 (t)
Afflalo, Arron;Detroit Pistons;G;$1.015.440 ;5;$5.952.253 ;2011-12 (t)
Bynum, Will;Detroit Pistons;G;$711.517 ;2;$1.537.014 ;2009-10
Sharpe, Walter;Detroit Pistons;F;$442.114 ;2;$1.178.534 ;2009-10
Ellis, Monta;Golden State Warriors;G;$11.000.000 ;6;$66.000.000 ;2013-14
Biedrins, Andris;Golden State Warriors;C;$9.000.000 ;3;$62.000.000 ;2013-14
Crawford, Jamal;Golden State Warriors;G;$8.640.000 ;7;$55.440.000 ;2009-10 (p)
Maggette, Corey;Golden State Warriors;F;$8.600.000 ;5;$50.000.000 ;2012-13
Jackson, Stephen;Golden State Warriors;F-G;$7.140.000 ;3;$28.000.000 ;2010-11
Turiaf, Ronny;Golden State Warriors;F;$4.500.000 ;4;$17.000.000 ;2011-12
Azubuike , Kelenna;Golden State Warriors;F-G;$2.900.000 ;3;$9.000.000 ;2010-11
Wright, Brandan;Golden State Warriors;F;$2.497.320 ;5;$12.072.441 ;2011-12 (t)
Perovic, Kosta;Golden State Warriors;C;$1.944.000 ;3;$5.000.000 ;2009-10
Randolph, Anthony;Golden State Warriors;F;$1.709.280 ;5;$12.473.314 ;2012-13
Belinelli, Marco;Golden State Warriors;G;$1.446.720 ;5;$7.717.764 ;2011-12 (t)
Williams , Marcus;Golden State Warriors;G;$1.262.520 ;4;$5.617.000 ;2009-10 (t)
Watson, CJ;Golden State Warriors;G;$711.517 ;1;$251.272 ;2007-08
Morrow, Anthony;Golden State Warriors;G;$442.114 ;2;$1.178.534 ;2009-10
Hendrix, Richard;Golden State Warriors;F;$442.114 ;1;$442.114 ;2008-09
Kurz, Rob;Golden State Warriors;F;$425.939 ;1;$425.939 ;2008-09
Davidson, Jermareo;Golden State Warriors;F;$418.539 ;2;$1.138.680 ;2008-09
Nelson, DeMarcus;Golden State Warriors;G;$182.047 ;1;$182.047 ;2008-09
Dowell, Dion;Golden State Warriors;G;$25.000 ;1;$25.000 ;2008-09
McGrady, Tracy;Houston Rockets;G;$19.614.000 ;4;$80.282.000 ;2009-10
Yao, Ming;Houston Rockets;C;$15.070.550 ;3;$49.134.975 ;2010-11
Artest, Ron;Houston Rockets;F;$7.400.000 ;6;$42.000.000 ;2008-09 (p)
Battier, Shane;Houston Rockets;F;$6.373.900 ;6;$36.800.000 ;2010-11
Alston, Rafer;Houston Rockets;G;$4.900.000 ;6;$26.250.000 ;2009-10
Scola, Luis;Houston Rockets;F-C;$3.150.000 ;4;$9.450.000 ;2010-11
Landry, Carl;Houston Rockets;F;$3.000.000 ;3;$9.000.000 ;2010-11
Head, Luther;Houston Rockets;G;$1.962.378 ;4;$5.109.000 ;2008-09
Hayes, Chuck;Houston Rockets;F;$1.933.750 ;1;$1.500.000 ;2007-08 (t)
Barry, Brent;Houston Rockets;G;$1.910.000 ;2;$3.900.000 ;2009-10
Brooks, Aaron;Houston Rockets;G;$1.045.560 ;5;$6.113.436 ;2011-12
Dorsey, Joey;Houston Rockets;F;$816.500 ;4;$3.657.920 ;2011-12
Wafer, Von;Houston Rockets;G;$797.581 ;1;$770.610 ;2007-08
Mutombo, Dikembe;Houston Rockets;C;$787.066 ;1;$770.610 ;2007-08
Murphy, Troy;Indiana Pacers;F-C;$10.126.984 ;6;$58.000.000 ;2010-11
Dunleavy, Mike;Indiana Pacers;F-G;$9.000.000 ;5;$45.000.000 ;2010-11
Nesterovic, Rasho;Indiana Pacers;C;$8.400.000 ;6;$42.000.000 ;2007-08
Ford, T.J.;Indiana Pacers;G;$8.275.000 ;4;$33.000.000 ;2010-11 (p)
Daniels, Marquis;Indiana Pacers;G;$6.864.200 ;6;$36.750.000 ;2009-10 (t)
Tinsley, Jamaal;Indiana Pacers;G;$6.750.000 ;6;$39.000.000 ;2010-11
Foster, Jeff;Indiana Pacers;C;$5.500.000 ;6;$30.000.000 ;2008-09
Granger, Danny;Indiana Pacers;F-G;$2.329.805 ;5;$65.000.000 ;2012-13
Jack, Jarrett;Indiana Pacers;G;$2.002.623 ;4;$5.420.000 ;2008-09 (t)
Jones, Eddie;Indiana Pacers;G-F;$1.976.400 ;2;$4.000.000 ;2008-09
Baston, Maceo;Indiana Pacers;F;$1.976.400 ;2;$3.800.000 ;2008-09
Rush, Brandon;Indiana Pacers;G;$1.799.160 ;5;$12.848.076 ;2012-13
Diener, Travis;Indiana Pacers;G;$1.620.000 ;3;$4.900.000 ;2009-10 (p)
Hibbert, Roy;Indiana Pacers;C;$1.465.440 ;5;$10.969.759 ;2012-13
Graham, Stephen;Indiana Pacers;F;$826.269 ;1;$770.610 ;2007-08
McRoberts, Josh;Indiana Pacers;F;$711.517 ;3;$1.138.680 ;2008-09
Randolph, Zach;Los Angeles Clippers;F-C;$14.666.667 ;6;$84.000.000 ;2010-11
Davis, Baron;Los Angeles Clippers;G;$11.250.000 ;5;$65.000.000 ;2012-13
Camby, Marcus;Los Angeles Clippers;C-F;$10.000.000 ;6;$35.100.000 ;2009-10
Kaman, Chris;Los Angeles Clippers;C;$9.500.000 ;5;$52.500.000 ;2011-12
Gordon, Eric;Los Angeles Clippers;G;$2.623.200 ;5;$17.428.561 ;2012-13
Hart, Jason;Los Angeles Clippers;G;$2.484.000 ;2;$5.000.000 ;2008-09
Davis, Ricky;Los Angeles Clippers;F-G;$2.300.000 ;2;$4.700.000 ;2009-10
Thornton, Al;Los Angeles Clippers;F;$1.776.240 ;5;$9.243.267 ;2011-12 (t)
Skinner, Brian;Los Angeles Clippers;F-C;$1.262.275 ;4;$20.700.000 ;2007-08 (p)
Collins , Mardy;Los Angeles Clippers;G;$1.034.760 ;4;$4.770.000 ;2009-10 (t)
Davis , Paul;Los Angeles Clippers;C;$797.581 ;1;$797.581 ;2008-09
Novak , Steve;Los Angeles Clippers;F;$797.581 ;3;$2.090.000 ;2008-09 (t)
Samb, Cheick;Los Angeles Clippers;C;$711.517 ;1;$711.517 ;2008-09
Acker, Alex;Los Angeles Clippers;G;$711.517 ;1;$711.517 ;2008-09
Jones, Fred;Los Angeles Clippers;G;$616.658 ;3;$11.000.000 ;2008-09
Jordan, DeAndre;Los Angeles Clippers;C;$550.000 ;3;$2.140.809 ;2010-11
Taylor, Mike;Los Angeles Clippers;G;$500.000 ;3;$2.090.809 ;2010-11
Adams , Hassan;Los Angeles Clippers;G;$301.348 ;1;$301.348 ;2008-09
Bryant, Kobe;Los Angeles Lakers;G;$21.262.500 ;7;$136.400.000 ;2010-11 (p)
Gasol, Pau;Los Angeles Lakers;F-C;$15.106.000 ;6;$86.000.000 ;2010-11
Odom, Lamar;Los Angeles Lakers;F;$14.148.596 ;6;$71.700.000 ;2008-09
Fisher, Derek;Los Angeles Lakers;G;$4.700.000 ;3;$14.000.000 ;2009-10
Vujacic, Sasha;Los Angeles Lakers;G;$4.524.887 ;3;$15.000.000 ;2010-11
Walton, Luke;Los Angeles Lakers;F;$4.420.000 ;6;$30.000.000 ;2012-13
Adam, Morrison;Los Angeles Lakers;F;$4.159.200 ;2;$7.504.560 ;2007-08
Ariza, Trevor;Los Angeles Lakers;F;$3.100.000 ;3;$9.300.000 ;2008-09 (p)
Bynum, Andrew;Los Angeles Lakers;C;$2.769.300 ;4;$58.000.000 ;2011-12
Mihm, Chris;Los Angeles Lakers;C;$2.500.000 ;2;$5.000.000 ;2008-09
Farmar , Jordan;Los Angeles Lakers;G;$1.080.000 ;4;$4.976.000 ;2009-10 (t)
Mbenga, D.J.;Los Angeles Lakers;C;$880.658 ;3;$5.300.000 ;2008-09
Powell, Josh;Los Angeles Lakers;F-C;$854.957 ;1;$800.000 ;2007-08
Brown , Shannon;Los Angeles Lakers;G;$797.581 ;4;$5.140.000 ;2009-10 (t)
Yue, Sun;Los Angeles Lakers;G;$442.114 ;2;$1.178.534 ;2009-10
Francis, Steve;Memphis Grizzlies;G;$18.364.000 ;2;$5.000.000 ;2009-10
Walker, Antoine;Memphis Grizzlies;F;$9.052.460 ;1;$9.052.460 ;2008-09
Dorsey, Joey;Memphis Grizzlies;F;$9.000.000 ;3;$26.250.000 ;2009-10
Milicic, Darko;Memphis Grizzlies;C-F;$7.020.000 ;3;$21.000.000 ;2009-10
Jaric, Marko;Memphis Grizzlies;G;$6.575.000 ;6;$40.000.000 ;2010-11
Buckner, Greg;Memphis Grizzlies;G;$4.010.005 ;5;$29.500.000 ;2010-11 (p)
Mayo, O.J.;Memphis Grizzlies;G;$3.875.040 ;5;$30.362.210 ;2012-13
Conley, Mike;Memphis Grizzlies;G;$3.630.480 ;4;$19.907.543 ;2011-12
Gasol, Marc;Memphis Grizzlies;C;$3.093.333 ;3;$10.000.000 ;2010-11
Gay , Rudy;Memphis Grizzlies;F;$2.579.400 ;4;$10.541.000 ;2009-10 (t)
Warrick, Hakim;Memphis Grizzlies;F;$2.119.102 ;4;$5.978.000 ;2008-09 (t)
Stoudamire, Damon;Memphis Grizzlies;G;$1.630.719 ;4;$17.000.000 ;2008-09
Haddadi, Hamed;Memphis Grizzlies;C;$1.572.221 ;3;$4.800.000 ;2010-11
Lowry , Kyle;Memphis Grizzlies;G;$1.163.520 ;4;$5.298.000 ;2009-10
Arthur, Darrell;Memphis Grizzlies;F;$977.160 ;5;$8.184.656 ;2012-13
Ross, Quinton;Memphis Grizzlies;F-G;$797.581 ;4;$2.800.000 ;2007-08 (t)
Beasley, Michael;Memphis Grizzlies;G;$359.670 ;1;$359.670 ;2008-09
Wade, Dwyane;Miami Heat;G;$14.410.581 ;4;$63.000.000 ;2010-11 (p)
Blount, Mark;Miami Heat;C-F;$8.513.916 ;6;$38.500.000 ;2009-10
Haslem, Udonis;Miami Heat;F-C;$6.575.000 ;5;$30.700.000 ;2009-10
Beasley, Michael;Miami Heat;F;$4.314.960 ;5;$28.350.510 ;2012-13
Jones, James;Miami Heat;F;$4.000.000 ;4;$11.000.000 ;2008-09 (p)
Wright, Dorell;Miami Heat;G-F;$2.612.835 ;2;$5.000.000 ;2009-10
Parker, Smush;Miami Heat;G;$2.430.000 ;1;$2.430.000 ;2008-09
Cook, Daequan;Miami Heat;G;$1.273.200 ;5;$6.946.484 ;2011-12
Magloire, Jamaal;Miami Heat;C;$1.141.838 ;1;$3.750.000 ;2007-08
Quinn , Chris;Miami Heat;G;$972.581 ;2;$2.000.000 ;2009-10
Diawara , Yakhouba;Miami Heat;F-G;$800.000 ;2;$1.100.000 ;2007-08
Johnson , Alexander;Miami Heat;F;$797.581 ;1;$797.581 ;2008-09
Anthony, Joel;Miami Heat;C;$711.517 ;3;$1.138.680 ;2009-10
Chalmers, Mario;Miami Heat;G;$700.000 ;3;$2.310.839 ;2010-11
Richards, Jason;Miami Heat;G;$442.114 ;6;$70.000.000 ;2010-11
Lasme, Stephane;Miami Heat;F;$300.000 ;1;$300.000 ;2008-09
Padgett, David;Miami Heat;C;$35.000 ;1;$35.000 ;2008-09
Redd, Michael;Milwaukee Bucks;G;$15.780.000 ;6;$90.000.000 ;2010-11 (p)
Jefferson, Richard;Milwaukee Bucks;F;$13.200.000 ;6;$76.000.000 ;2010-11 (p)
Ridnour, Luke;Milwaukee Bucks;G;$6.500.000 ;3;$18.000.000 ;2009-10
Bogut, Andrew;Milwaukee Bucks;C;$6.294.307 ;5;$72.500.000 ;2012-13
Gadzuric, Dan;Milwaukee Bucks;C;$6.250.195 ;6;$36.000.000 ;2010-11
Jones, Damon;Milwaukee Bucks;G;$4.460.186 ;4;$16.100.000 ;2008-09
Villanueva, Charlie;Milwaukee Bucks;F;$3.448.050 ;4;$11.060.000 ;2008-09 (t)
Bell, Charlie;Milwaukee Bucks;G;$3.354.480 ;5;$18.500.000 ;2011-12
Bogans, Keith;Milwaukee Bucks;G-F;$2.550.000 ;3;$8.000.000 ;2008-09
Lue, Tyronn;Milwaukee Bucks;G;$2.500.000 ;3;$11.340.000 ;2007-08
Alexander, Joe;Milwaukee Bucks;F;$2.403.120 ;5;$16.003.932 ;2012-13
Allen, Malik;Milwaukee Bucks;F;$1.500.000 ;2;$3.000.000 ;2009-10
Storey, Awvee;Milwaukee Bucks;G-F;$826.269 ;1;$770.610 ;2007-08
Sessions, Ramon;Milwaukee Bucks;G;$711.517 ;3;$1.138.680 ;2009-10
Mbah a Moute, Luc;Milwaukee Bucks;F;$442.114 ;3;$2.032.923 ;2010-11
Jefferson, Al;Minnesota Timberwolves;C-F;$11.000.000 ;5;$65.000.000 ;2011-12
Miller, Mike;Minnesota Timberwolves;G-F;$9.128.575 ;6;$47.250.000 ;2009-10
Cardinal, Brian;Minnesota Timberwolves;F;$6.300.000 ;6;$36.800.000 ;2009-10
Collins, Jason;Minnesota Timberwolves;C;$6.200.000 ;5;$25.000.000 ;2008-09
Hudson, Troy;Minnesota Timberwolves;G;$5.041.000 ;6;$34.670.000 ;2009-10
Gomes, Ryan;Minnesota Timberwolves;F;$3.500.000 ;5;$20.500.000 ;2012-13
Love, Kevin;Minnesota Timberwolves;F;$3.163.680 ;5;$20.925.164 ;2012-13
Foye , Randy;Minnesota Timberwolves;G;$2.815.560 ;4;$11.471.000 ;2009-10 (t)
Brewer, Corey;Minnesota Timberwolves;F-G;$2.725.920 ;5;$13.144.116 ;2011-12 (t)
Madsen, Mark;Minnesota Timberwolves;F;$2.630.000 ;5;$10.000.000 ;2009-10
McCants, Rashad;Minnesota Timberwolves;G;$2.620.126 ;4;$7.581.406 ;2008-09 (t)
Smith , Craig;Minnesota Timberwolves;F;$2.500.000 ;2;$5.000.000 ;2009-10
Telfair, Sebastian;Minnesota Timberwolves;G;$2.300.000 ;3;$7.500.000 ;2010-11
Carney , Rodney;Minnesota Timberwolves;F;$1.655.760 ;4;$7.183.000 ;2009-10 (t)
Booth, Calvin;Minnesota Timberwolves;C;$1.147.533 ;1;$1.103.225 ;2007-08
Ollie, Kevin;Minnesota Timberwolves;G;$797.581 ;5;$15.000.000 ;2007-08
Carter, Vince;New Jersey Nets;G;$14.724.125 ;5;$78.000.000 ;2011-12
Simmons, Bobby;New Jersey Nets;F;$9.920.000 ;5;$47.000.000 ;2009-10
Harris, Devin;New Jersey Nets;G;$7.800.000 ;3;$12.837.000 ;2007-08
Swift, Stromile;New Jersey Nets;F-C;$6.200.000 ;4;$22.400.000 ;2008-09
Hassell, Trenton;New Jersey Nets;F;$4.350.000 ;6;$26.000.000 ;2009-10 (p)
Dooling, Keyon;New Jersey Nets;G;$3.300.000 ;3;$10.500.000 ;2010-11
Najera, Eduardo;New Jersey Nets;F;$3.250.000 ;4;$12.000.000 ;2011-12
Jianlian, Yi;New Jersey Nets;F;$2.986.080 ;4;$15.634.345 ;2011-12
Lopez, Brook;New Jersey Nets;C;$2.098.560 ;5;$14.035.594 ;2012-13
Hayes, Jarvis;New Jersey Nets;F;$1.910.000 ;2;$4.000.000 ;2009-10
Williams, Sean;New Jersey Nets;F-C;$1.522.920 ;5;$8.101.928 ;2011-12 (t)
Anderson, Ryan;New Jersey Nets;F;$1.225.200 ;5;$9.430.431 ;2012-13
Boone , Josh;New Jersey Nets;C;$1.212.120 ;4;$5.456.000 ;2009-10 (t)
Ager , Maurice;New Jersey Nets;F-G;$1.042.440 ;4;$4.800.000 ;2009-10 (t)
Douglas-Roberts, Chris;New Jersey Nets;G;$442.000 ;2;$1.178.000 ;2009-10
Stojakovic, Peja;New Orleans Hornets;F;$12.528.000 ;5;$64.000.000 ;2010-11
Chandler, Tyson;New Orleans Hornets;C;$11.400.000 ;6;$64.000.000 ;2010-11
West, David;New Orleans Hornets;F;$9.862.000 ;5;$45.000.000 ;2011-12
Daniels, Antonio;New Orleans Hornets;G;$6.200.000 ;5;$30.000.000 ;2009-10
Posey, James;New Orleans Hornets;F;$5.585.000 ;4;$25.000.000 ;2011-12
Peterson, Morris;New Orleans Hornets;G;$5.400.000 ;4;$23.000.000 ;2010-11
Paul, Chris;New Orleans Hornets;G;$4.574.189 ;4;$68.000.000 ;2011-12
Butler, Rasual;New Orleans Hornets;G-F;$3.630.000 ;4;$14.000.000 ;2009-10
Armstrong , Hilton;New Orleans Hornets;C-F;$2.032.800 ;4;$8.502.000 ;2009-10 (t)
Wright, Julian;New Orleans Hornets;F;$1.869.600 ;5;$9.561.453 ;2011-12 (t)
Marks, Sean;New Orleans Hornets;F-C;$1.141.838 ;1;$770.610 ;2007-08
Ely, Melvin;New Orleans Hornets;C-F;$998.398 ;1;$895.341 ;2007-08
Brown, Devin;New Orleans Hornets;G-F;$998.398 ;1;$1.200.000 ;2007-08 (t)
Bowen, Ryan;New Orleans Hornets;F;$797.581 ;1;$1.033.930 ;2008-09
Marbury, Stephon;New York Knicks;G;$20.840.625 ;4;$76.000.000 ;2008-09
Curry, Eddy;New York Knicks;C;$9.723.983 ;6;$60.000.000 ;2009-10 (p)
Harrington, Al;New York Knicks;F;$9.226.550 ;4;$35.300.000 ;2009-10 (p)
Richardson, Quentin;New York Knicks;F-G;$8.685.500 ;6;$43.500.000 ;2009-10 (p)
Mobley, Cuttino;New York Knicks;G;$8.425.000 ;5;$42.000.000 ;2009-10
Rose, Malik;New York Knicks;F;$7.647.500 ;7;$42.000.000 ;2007-08 (p)
James, Jerome;New York Knicks;C;$6.200.000 ;5;$30.000.000 ;2009-10 (p)
