Index;Movie;Distributor;Genre;7-day Gross;14-day Gross;Total US Gross;International Gross;US DVD Sales;Budget
82;Barnyard: The Original Party Animals;Paramount Pictures;Comedy;$24 016 098;$38 506 651;$72 779 000;$43 839 084;$64 992 667;$51 000 000
83;Day Watch;Fox Searchlight;Action;$68 234;$166 581;$459 095;$38 411 815;$4 060 608;
84;How to Eat Fried Worms;New Line;Drama;$5 571 313;;$13 040 527;$55 787;$16 841 759;
85;Everyone's Hero;20th Century Fox;Adventure;$6 844 371;$12 125 203;$14 523 101;$1 596 538;$5 943 446;
86;The Marine;20th Century Fox;Action;$8 822 674;$13 555 127;$18 844 784;$3 320 824;$26 752 947;$15 000 000
87;School for Scoundrels;Weinstein Co.;Comedy;$10 554 778;$15 065 677;$17 807 569;;;$20 000 000
88;Black Christmas;Miramax/Dimension;Horror;;;$16 235 738;;;$9 000 000
89;The Devil Wears Prada;20th Century Fox;Comedy;;;$124 740 460;$201 810 634;$95 831 660;$35 000 000
90;The Nanny Diaries;Weinstein Co.;Comedy;$10 151 376;;$25 926 673;$20 064 522;$37 541 232;
91;Blood Diamond;Warner Bros.;Action;$12 119 786;$22 002 750;$57 377 916;$114 000 000;$62 525 527;$100 000 000
92;Reign Over Me;Sony Pictures;Drama;$9 630 847;$14 896 332;$19 661 987;$420 000;$15 941 535;$20 000 000
93;The Black Dahlia;Universal;Thriller/Suspense;$12 820 690;$18 613 540;$22 672 813;$24 000 000;$12 345 224;$60 000 000
94;Reno 911!: Miami;20th Century Fox;Comedy;$12 662 896;$17 729 833;$20 342 161;;;
95;Live Free or Die Hard;20th Century Fox;Action;;$88 674 537;$134 529 403;$249 002 061;$100 735 780;$110 000 000
96;Trust the Man;Fox Searchlight;Comedy;$255 827;$655 122;$1 530 535;$1 017 843;;$9 000 000
97;The Wicker Man;Warner Bros.;Thriller/Suspense;$13 371 125;$18 628 666;$24 413 467;$13 308 360;;
98;The Astronaut Farmer;Warner Bros.;Drama;$5 580 399;$8 338 517;$11 003 643;;;$13 000 000
99;Tenacious D in: The Pick of Destiny;New Line;Comedy;;;$8 334 575;$5 100 000;$6 035 460;
100;Pirates of the Caribbean: Dead Man's Chest;Buena Vista;Adventure;;;$423 315 812;$642 344 000;$320 671 450;$225 000 000
101;Smokin' Aces;Universal;Comedy;$18 630 955;$27 061 120;$35 662 731;$20 384 530;$35 769 990;$17 000 000
102;License to Wed;Warner Bros.;Comedy;;$31 442 050;$43 792 641;$27 000 000;$22 727 928;$35 000 000
103;Grindhouse;Weinstein/Dimension;Horror;$15 460 828;$21 320 000;$25 031 037;$25 156 752;$31 032 170;$53 000 000
104;Pathfinder;20th Century Fox;Adventure;$6 360 568;$8 895 535;$10 232 081;$20 590 780;$27 357 887;
105;The Simpsons Movie;20th Century Fox;Comedy;$102 949 705;$141 112 342;$183 135 014;$343 936 008;$96 337 909;$72 500 000
106;Operation Homecoming;The Documentary Group;Documentary;$6 795;;$6 795;;;
107;The Omen;20th Century Fox;Horror;;;$54 607 383;$65 000 000;$10 459 743;$25 000 000
108;Catch and Release;Sony Pictures;Romantic Comedy;$9 311 010;$12 646 624;$15 432 542;;;
109;Away From Her;Lionsgate;Drama;;;$4 548 331;;;
110;Knocked Up;Universal;Romantic Comedy;$46 223 940;$75 946 815;$148 761 765;$70 232 344;$117 411 877;$27 500 000
111;Jet Li's Fearless;Focus/Rogue Pictures;Drama;$13 083 004;$19 461 440;$24 633 730;$42 000 000;$30 497 752;
112;The Guardian;Buena Vista;Action;$22 751 717;$35 265 924;$55 011 732;$32 000 000;$53 922 172;
113;Water;Fox Searchlight;Drama;;;$5 529 144;$2 590 061;;
114;Accepted;Universal;Comedy;$14 641 880;$23 510 200;$36 580 083;$1 734 720;$37 827 956;
115;Music and Lyrics;Warner Bros.;Romantic Comedy;;;$50 572 589;$94 983 557;$21 129 239;$40 000 000
116;You, Me and Dupree;Universal;Comedy;;;$75 802 010;$54 600 000;$41 628 625;$54 000 000
117;Eragon;20th Century Fox;Adventure;$30 495 702;$48 213 849;$75 030 163;$174 457 952;$87 654 390;$100 000 000
118;Primeval;Buena Vista;Adventure;$7 716 473;;$10 597 734;$1 000 000;$4 982 989;
119;Night at the Museum;20th Century Fox;Comedy;$79 055 249;$140 096 754;$250 863 268;$323 617 573;$153 286 880;$110 000 000
120;Evan Almighty;Universal;Comedy;$45 535 600;$69 987 650;$100 289 690;$72 929 590;$37 997 932;$175 000 000
121;Black Snake Moan;Paramount Vantage;Drama;$5 410 053;$8 079 470;$9 396 870;;;$15 000 000
122;No Reservations;Warner Bros.;Romantic Comedy;$17 586 828;$28 169 989;$43 107 979;$49 000 000;$26 948 545;$28 000 000
123;Meet the Robinsons;Buena Vista;Adventure;$35 231 834;$59 900 752;$97 822 171;$71 510 807;$78 345 374;
124;A Good Year;20th Century Fox;Drama;$4 799 687;$6 851 054;$7 459 300;$34 604 805;$7 342 760;$35 000 000
125;One Night with the King;Rocky Mountain Pictures;Drama;$5 307 651;;$13 395 961;;;$20 000 000
126;Hostel: Part II;Lionsgate;Horror;$11 191 000;$16 040 871;$17 544 812;$16 061 597;$16 167 194;$7 500 000
127;Stranger Than Fiction;Sony Pictures;Comedy;$16 300 147;$26 778 068;$40 435 190;$4 800 000;$30 880 666;$30 000 000
128;We Are... Marshall;Warner Bros.;Drama;$17 038 381;$30 289 979;$43 545 364;;;
129;Rush Hour 3;New Line;Action;$66 323 168;$96 763 003;$140 125 968;$112 900 000;$40 775 094;$180 000 000
130;Flicka;20th Century Fox;Drama;$9 163 221;$14 900 036;$21 000 147;$893 444;$49 920 014;$15 000 000
131;Dreamgirls;Paramount Pictures;Musical;;$22 964 345;$103 365 956;$51 600 000;$53 661 766;$75 000 000
132;Children of Men;Universal;Adventure;;;$35 552 383;$33 897 819;$25 338 142;$76 000 000
133;Bobby;Weinstein Co.;Drama;$1 242 622;$7 204 245;$11 205 901;$8 667 942;$12 345 494;
134;Underdog;Buena Vista;Adventure;$18 290 912;$28 078 697;$43 760 605;$21 540 742;$38 478 972;
135;Flushed Away;Dreamworks SKG;Comedy;$23 220 769;$41 991 571;$64 665 672;$113 000 000;$70 937 146;$149 000 000
136;Jackass: Number Two;Paramount Pictures;Comedy;$37 465 379;$56 293 371;$72 778 712;$10 800 000;$49 039 094;$11 000 000
137;Confetti;Fox Searchlight;Romantic Comedy;$29 623;$190 312;$228 498;$4 506 731;;
138;The Invisible;Buena Vista;Thriller/Suspense;$9 221 338;$13 343 836;$20 568 319;$2 971 947;$13 668 418;
139;Borat;20th Century Fox;Comedy;$38 841 865;$76 154 492;$128 505 958;$133 066 786;$62 652 669;$18 000 000
140;Wild Hogs;Buena Vista;Comedy;$49 415 325;$85 167 997;$168 213 584;$84 800 000;$92 291 863;
141;The Grudge 2;Sony Pictures;Horror;$23 680 202;$32 715 981;$39 143 839;$29 500 000;$8 293 678;$20 000 000
142;Evening;Focus Features;Drama;;$9 668 000;$12 406 646;$478 928;;
143;The Invasion;Warner Bros.;Thriller/Suspense;$8 374 693;$12 611 955;$15 074 191;$25 072 851;$4 845 361;$80 000 000
144;The Good Shepherd;Universal;Drama;$24 065 985;$41 897 680;$59 908 565;$35 468 177;$33 880 479;
145;La Vie en Rose;PictureHouse;Drama;;$3 144 035;$10 299 782;$73 200 000;;$15 500 000
146;Fracture;New Line;Thriller/Suspense;$14 260 545;$23 032 218;$38 989 507;$50 200 000;$22 208 165;
147;Monster House;Sony Pictures;Adventure;;$50 951 765;$73 661 010;$66 500 000;$71 541 095;$75 000 000
148;Zoom;Sony Pictures;Adventure;$6 607 544;;$11 989 328;$516 860;$6 679 409;$35 000 000
149;Lucky You;Warner Bros.;Drama;$3 622 974;$5 329 749;$5 755 286;$766 543;$853 973;$55 000 000
150;1408;Miramax/Dimension;Horror;$29 779 254;$46 649 346;$71 985 628;$56 543 671;$49 635 451;$22 500 000
151;Bridge to Terabithia;Buena Vista;Drama;$32 648 034;$49 302 632;$82 234 139;$54 700 000;$41 355 482;$25 000 000
152;Apocalypto;Buena Vista;Adventure;$20 201 406;$31 724 156;$50 866 635;$66 918 416;$43 279 287;$40 000 000
153;Bratz;Lionsgate;Comedy;$6 146 369;;$10 010 209;$15 737 014;$39 102 832;
154;My Super Ex-Girlfriend;20th Century Fox;Comedy;;$19 118 663;$22 530 295;$38 000 000;;
155;Bug;Lionsgate;Drama;$4 871 655;$6 740 839;$7 006 708;;;$4 000 000
156;The Prestige;Buena Vista;Thriller/Suspense;$19 207 527;$31 630 273;$53 089 891;$54 806 115;$45 348 399;$40 000 000
157;Stardust;Paramount Pictures;Adventure;$13 842 551;$22 501 872;$38 634 938;$96 921 737;$25 077 781;$70 000 000
158;Happy Feet;Warner Bros.;Musical;$62 178 720;$103 955 600;$198 000 317;$187 000 000;$203 202 864;$85 000 000
159;Alpha Dog;Universal;Drama;$8 796 815;;$15 242 450;$12 977 992;$12 376 741;
160;Epic Movie;20th Century Fox;Comedy;$21 143 563;$31 024 169;$39 739 367;$47 119 211;$16 820 895;$20 000 000
161;Blades of Glory;Paramount Pictures;Comedy;$45 382 907;$76 130 018;$118 594 548;$27 000 000;$49 169 389;$61 000 000
162;Dead Silence;Universal;Horror;$9 775 725;$14 145 450;$16 574 590;$4 040 071;$16 762 012;
163;Delta Farce;Lionsgate;Comedy;$4 285 912;$6 692 207;$8 130 530;;;
164;The Messengers;Sony Pictures;Horror;$17 524 018;$26 708 505;$35 374 833;$18 400 000;$15 902 523;
165;I Know Who Killed Me;Sony/TriStar;Thriller/Suspense;$5 066 322;;$7 233 485;;;
166;Who's Your Caddy?;MGM;Comedy;$3 711 337;;$5 694 308;;;
167;Notes on a Scandal;Fox Searchlight;Drama;;;$17 510 118;$32 242 273;$8 957 029;
168;I Think I Love My Wife;Fox Searchlight;Comedy;$7 279 181;$10 899 186;$12 559 771;$645 640;$13 549 608;$14 000 000
169;Charlotte's Web;Paramount Pictures;Drama;$18 809 466;$40 857 817;$82 985 708;$61 000 000;$83 550 733;$82 500 000
170;The Last Kiss;Paramount Pictures;Romantic Comedy;$5 936 292;$9 188 774;$11 614 790;;;
171;Because I Said So;Universal;Comedy;$16 584 590;$28 257 665;$42 674 040;$26 205 530;$23 917 497;
172;Unconscious;Regent Releasing;Comedy;;;$68 501;;;
173;Shooter;Paramount Pictures;Thriller/Suspense;$19 211 919;$30 855 582;$47 003 582;$48 200 000;$57 244 093;$60 000 000
174;Gridiron Gang;Sony Pictures;Drama;$17 501 040;$28 676 742;$38 432 823;$3 048 028;$33 990 308;$30 000 000
175;Hairspray;New Line;Musical;$43 858 000;$69 629 420;$118 823 091;$84 000 000;$104 029 214;$75 000 000
176;Zodiac;Paramount Pictures;Thriller/Suspense;$16 954 103;$25 849 997;$33 080 084;$50 000 000;$20 971 999;$85 000 000
177;In the Land of Women;Warner Independent Pictures;Comedy;$5 908 658;$9 308 837;$11 052 958;$3 087 444;$9 691 414;$10 500 000
178;Premonition;Sony Pictures;Thriller/Suspense;$22 090 745;$34 242 317;$47 852 604;$33 608 739;$33 205 167;
179;Becoming Jane;Miramax;Drama;;$6 148 661;$18 663 911;$18 640 726;$8 050 112;$16 500 000
180;The Protector;Weinstein Co.;Action;$6 583 847;$9 940 816;$12 044 087;$31 000 000;$13 059 709;$5 700 000
181;Crank;Lionsgate;Action;$15 058 504;$21 713 622;$27 838 408;$5 986 288;$28 754 050;$12 000 000
182;The Hitcher;Focus Features;Thriller/Suspense;$9 800 045;;$16 379 582;$4 476 064;;
183;The History Boys;Fox Searchlight;Comedy;;;$2 730 296;$10 695 293;;$3 700 000
184;Gracie;PictureHouse;Drama;$1 939 458;;$2 956 339;$80 397;;$9 000 000
185;Firehouse Dog;20th Century Fox;Comedy;;;$13 932 383;$3 366 768;$17 210 792;
186;The Santa Clause 3: The Escape Clause;Buena Vista;Comedy;$24 159 405;$43 401 458;$84 500 122;$23 000 000;$76 815 057;
187;Step Up;Buena Vista;Drama;$29 580 830;$44 232 438;$65 328 121;$50 000 000;$51 183 795;$12 000 000
188;Open Season;Sony Pictures;Adventure;$28 128 740;$48 154 270;$85 105 259;$104 796 444;$96 372 487;$85 000 000
189;The Last Mimzy;New Line;Adventure;$12 192 019;$17 318 613;$21 471 047;$5 149 714;$21 227 639;
190;The Reaping;Warner Bros.;Horror;;;$25 126 214;$37 100 000;$19 733 449;$40 000 000
191;Talladega Nights: The Ballad of Ricky Bobby;Sony Pictures;Comedy;$68 216 958;$100 585 876;$148 213 377;$14 800 000;$84 806 563;$73 000 000
192;Hollywoodland;Focus Features;Drama;$7 799 599;$11 434 376;$14 426 251;;;
193;Rocky Balboa;MGM;Drama;;;$70 269 899;$85 450 189;$34 655 821;$24 000 000
194;A Mighty Heart;Paramount Vantage;Drama;$5 418 140;$7 757 609;$9 176 787;$9 755 330;$5 434 934;$15 000 000
195;Mr. Bean's Holiday;Universal;Comedy;$13 000 430;;$33 302 167;$196 397 938;$28 162 446;$25 000 000
196;Joshua;Fox Searchlight;Thriller/Suspense;$74 590;$400 745;$482 355;$233 349;;
197;Flags of Our Fathers;Dreamworks SKG;Drama;$13 576 213;$22 131 112;$33 602 376;$28 300 000;$45 095 837;$53 000 000
198;Little Miss Sunshine;Fox Searchlight;Comedy;;;$59 891 098;$40 632 083;$55 497 574;$8 000 000
199;Garfield's A Tail of Two Kitties;20th Century Fox;Comedy;;;$28 426 747;$113 275 517;$18 693 368;
200;Letters from Iwo Jima;Dreamworks SKG;Drama;;;$13 756 082;$55 000 000;$13 618 088;$13 000 000
201;Daddy's Little Girls;Lionsgate;Romantic Comedy;;;$31 366 978;$150 081;$31 456 820;
202;Harry Potter and the Order of the Phoenix;Warner Bros.;Adventure;;$217 083 411;$292 004 738;$646 464 126;$220 651 146;$150 000 000
203;Marie-Antoinette;Sony Pictures;Drama;$6 906 276;$10 733 964;$15 962 471;$44 900 000;$16 617 894;$40 000 000
204;The Departed;Warner Bros.;Drama;$37 950 891;$63 472 929;$133 311 000;$157 228 042;$140 647 116;$90 000 000
205;Snakes on a Plane;New Line;Thriller/Suspense;$20 152 024;$28 601 000;$34 020 814;$28 000 000;$23 693 992;$33 000 000
206;Breach;Universal;Thriller/Suspense;$14 309 725;$21 938 345;$33 000 880;$1 457 899;$18 301 944;
207;The Last King of Scotland;Fox Searchlight;Drama;;;$17 606 684;$30 756 832;$16 831 973;$6 000 000
208;300;Warner Bros.;Action;$96 288 328;$141 843 655;$210 614 939;$245 453 242;$261 158 713;$60 000 000
209;The Pursuit of Happyness;Sony Pictures;Drama;$38 286 895;$79 049 229;$162 586 036;$143 500 000;$90 820 939;$55 000 000
210;The Number 23;New Line;Thriller/Suspense;$17 633 643;$26 321 000;$35 193 167;$41 400 000;$27 501 523;$32 000 000
211;Arctic Tale;Paramount Vantage;Documentary;;;$833 532;$194 090;;
;;;;;;;;;
