Consumer;Gender;Age;Preference
133;M;Between 20 and 40;Our brand
134;F;Between 20 and 40;Competing brand
135;F;Between 40 and 60;Our brand
136;F;Over 60;Competing brand
137;F;Over 60;Competing brand
138;F;Between 20 and 40;Competing brand
139;F;Between 20 and 40;Competing brand
140;F;Between 40 and 60;Our brand
141;F;Between 20 and 40;Our brand
142;M;Over 60;Our brand
143;F;Between 40 and 60;Competing brand
144;F;Between 20 and 40;Competing brand
145;F;Less than 20;Competing brand
146;F;Between 20 and 40;Competing brand
147;M;Between 20 and 40;Competing brand
148;F;Between 20 and 40;Our brand
149;M;Over 60;Competing brand
150;M;Over 60;Our brand
151;F;Between 20 and 40;Competing brand
152;F;Between 40 and 60;Competing brand
153;F;Between 20 and 40;Our brand
154;F;Between 20 and 40;Competing brand
155;F;Between 40 and 60;Competing brand
156;M;Between 20 and 40;Our brand
157;F;Between 40 and 60;Our brand
158;F;Between 20 and 40;Our brand
159;F;Over 60;Our brand
160;F;Between 20 and 40;Our brand
161;F;Over 60;Our brand
162;F;Between 20 and 40;Competing brand
163;F;Between 20 and 40;Competing brand
164;F;Between 20 and 40;Competing brand
165;F;Between 20 and 40;Competing brand
166;F;Between 20 and 40;Competing brand
167;F;Between 40 and 60;Competing brand
168;M;Between 20 and 40;Our brand
169;M;Less than 20;Our brand
170;F;Between 40 and 60;Our brand
171;F;Over 60;Our brand
172;M;Over 60;Our brand
173;F;Between 20 and 40;Competing brand
174;M;Less than 20;Competing brand
175;F;Less than 20;Our brand
176;M;Between 20 and 40;Our brand
177;F;Between 20 and 40;Competing brand
178;F;Between 20 and 40;Our brand
179;F;Between 20 and 40;Our brand
180;F;Between 20 and 40;Our brand
181;M;Less than 20;Our brand
182;F;Between 20 and 40;Our brand
183;F;Over 60;Competing brand
184;M;Between 20 and 40;Our brand
185;F;Less than 20;Our brand
186;F;Between 20 and 40;Our brand
187;F;Between 40 and 60;Our brand
188;M;Between 40 and 60;Competing brand
189;M;Between 40 and 60;Competing brand
190;F;Between 20 and 40;Our brand
191;F;Less than 20;Competing brand
192;F;Less than 20;Our brand
193;F;Over 60;Our brand
194;F;Between 20 and 40;Our brand
195;M;Between 40 and 60;Competing brand
196;F;Between 40 and 60;Our brand
197;M;Over 60;Our brand
198;F;Between 40 and 60;Our brand
199;F;Over 60;Competing brand
200;F;Between 20 and 40;Our brand
201;F;Between 40 and 60;Our brand
202;M;Between 40 and 60;Our brand
203;F;Over 60;Competing brand
204;F;Less than 20;Our brand
205;F;Between 40 and 60;Competing brand
206;F;Between 20 and 40;Our brand
207;F;Between 20 and 40;Our brand
208;F;Between 20 and 40;Our brand
209;M;Between 20 and 40;Competing brand
210;F;Over 60;Our brand
211;F;Between 40 and 60;Our brand
212;F;Between 20 and 40;Competing brand
213;F;Less than 20;Our brand
214;F;Between 20 and 40;Our brand
215;M;Over 60;Our brand
216;F;Between 20 and 40;Competing brand
217;F;Between 40 and 60;Our brand
218;M;Between 40 and 60;Our brand
219;F;Between 20 and 40;Our brand
220;F;Less than 20;Our brand
221;F;Between 20 and 40;Our brand
222;F;Between 40 and 60;Our brand
223;M;Between 40 and 60;Competing brand
224;F;Over 60;Our brand
225;F;Between 20 and 40;Competing brand
226;M;Between 40 and 60;Competing brand
227;F;Over 60;Competing brand
228;M;Less than 20;Our brand
229;F;Over 60;Competing brand
230;F;Between 20 and 40;Our brand
231;F;Between 20 and 40;Competing brand
232;F;Over 60;Our brand
233;F;Over 60;Our brand
234;M;Between 40 and 60;Competing brand
235;F;Between 20 and 40;Our brand
236;F;Between 40 and 60;Our brand
237;F;Between 20 and 40;Our brand
238;F;Between 40 and 60;Our brand
239;F;Between 40 and 60;Our brand
240;F;Between 40 and 60;Competing brand
241;F;Between 40 and 60;Our brand
242;F;Between 20 and 40;Our brand
243;F;Between 20 and 40;Competing brand
244;F;Over 60;Our brand
245;F;Between 40 and 60;Competing brand
246;M;Between 40 and 60;Competing brand
247;F;Between 20 and 40;Competing brand
248;F;Between 40 and 60;Our brand
249;M;Between 20 and 40;Competing brand
250;M;Over 60;Competing brand
